а;я, аз, ижица, зет, z, и
а вдоль дороги мертвые с косами стоят;шум,гам,грохот
абитуриент;выпускник
абориген;новосёл,прибылый,пришлый,пришелец,припущенник,наброд,нахожий,поселенец,населенец,переселенец,посельник,эмигрант
аборигенный;иностранный
абсолютизация;презрение
абсолютно;робко
абсолютность;ограниченность, с изъянами
абсолютный;относительный,сомнительный
абсорбировать;выделять
абстрагирование;конкретизация
абстрагировать;конкретизировать,рассматривать в деталях,детально
абстрактно;конкретно
абстрактность;конкретность
абстрактный;конкретный,определенный,практический,фактический
абстракция;реальность,конкретность
абсурд;реальность
авангард;арьергард,ариергардия,западная сила,зады,хвост,хобот,пятки,задняя часть
авангардный;арьергардный
аванпост;арьергард
авария;починка, счастье, благополучие
аверс;реверс, обратная сторона, второстепенность, тыл
авиатранспорт;наземный транспорт
авиатранспортабельный;стабильный
автоматизированный;ручной
автоматический;ручной
автономия;зависимость,колониализм,колония
автономно;в зависимости от,несамостоятельно
автономность;несамостоятельность
автономный;зависящий,несвободный,подчиненный,зависимый,связанный
автоподъезд;отъезд
авторитет;профан,дилетант
авторитетный;нетвердый, дешёвый
авуар;заем
агония;рождение
аграрный;промышленный
агрегированный;разъединенный
агрегировать;разукрупнять,рассматривать детально
агрессивно;мирно,миролюбиво
агрессивность;миролюбие,дружелюбие,дружелюбность
агрессивный;миролюбивый,спокойный,уравновешенный,мирный
агрессия;миролюбие
ад;рай,эдем,благодать,блаженство,парадиз,порядок
адаптация;отвыкание
адвокат;обвинитель
адекватность;разность,неадекватность,несоответствие
адекватный;неточный
адепт;противник,противница,враг
адресант;получатель,адресат
адресат;отправитель,адресант
адский;райский
адюльтер;верность
ажур;беспорядок
азбучный;непонятный,непростой,трудный,сложный,нетривиальный,оригинальный,запутанный
азия;запад
академический;практический
аккумулирование;расходование
аккумулировать;тратить
аккумуляция;расходование,снижение
аккуратно;небрежно,неряшливо
аккуратность;непунктуальность,нерадивость,неряшливость,размытость,халатность
аккуратный;неаккуратный,неопрятный,неряшливый,несобранный,небрежный,недисциплинированный,расхлябанный,разболтанный,разгильдяйский,безалаберный
акт;бездействие
актив;пассив
активизация;успокоение
активизировать;замедлять,тормозить,смягчать,умерять,ослаблять
активировать;подавлять,тормозить,сдерживать,мешать,стопорить
активно;пассивно,инертно
активность;пассивность,инертность,безынициативность,депрессия,бездельничанье,безделье,неактивность,праздность,лень,застой,стагнация,ремиссия,затухание,редукция
активный;пассивный,бездеятельный,инертный,застойный,заторможенный,ленивый,неактивный,неоживленный,ослабленный,слабый,спокойный,бездейственный
актуальность;неактуальность,несвоевременность,несовременность,старомодность,устарелость
акцентирование;уравнивание
алитирование;дефицит
аллелопатия;несогласованность
алогизм;последовательность
алогический;логический,разумный,ожидаемый,предсказуемый
алогичность;последовательность,связность,стройность,логичность
алогичный;логичный,логический
алчность;бескорыстие
альтернативно;прямо
альтернативный;сходный
альтруизм;эгоизм
альтруист;эгоист
альтруистически;эгоистически
альтруистический;эгоистический
