абитуриент;выпускник
аборигенный;иностранный
абсолютизация;презрение
абсолютно;робкий
абсорбировать;выделять
абстрагирование;конкретизация
абстрактно;конкретно
абстрактность;конкретность
абсурд;реальность
авангардный;арьергардный
аванпост;арьергард
автоматизированный;ручной
автоматический;ручной
автономность;несамостоятельность
агония;рождение
аграрный;промышленный
агрегировать;разъединённый
агрессия;миролюбие
адаптация;отвыкание
адвокат;обвинитель
адекватный;неточный
адский;райский
адюльтер;верность
ажур;беспорядок
азия;запад
академический;практический
аккумулирование;расходование
аккумулировать;тратить
акт;бездействие
актив;пассив
активизация;успокоение
акцентирование;уравнивание
алитирование;дефицит
аллелопатия;несогласованность
алогизм;последовательность
алчность;бескорыстие
альтернативно;прямо
альтернативный;сходный
альтруизм;эгоизм
альтруист;эгоист
альтруистически;эгоистически
альтруистический;эгоистический
альфа;омег
амбра;аромат
ампутировать;дать
анализирование;синтез
анализировать;синтезировать
аналитически;синтетически
аналитический;синтетический
аналогичность;различие
анархический;гармоничный
анахроничность;новизна
ангелоподобный;злой
аннексионистский;миролюбивый
аннулироваться;возникнуть
анормальный;нормальный
антагонистический;союзнический
антагонистичный;союзнический
антигуманный;человечный
антиимпериалистический;империалистический
антимилитаристский;военный
антипатичный;симпатичный
антипатия;симпатия
антипод;типаж
антитезис;тезис
антициклон;циклон
античный;современный
апагогический;прямая
апатичный;чувствительный
аплодировать;свистать
аплодисмент;провожать
апокрифичный;вероятный
аппроксимативный;точный
априорный;апостериорный
аранжировка;разбирание
аргументированный;бездоказательный
арендатор;арендодатель
арендодатель;арендатор
аристократический;низменный
аристократичный;грубый
арктический;тропический
архаизм;неологизм
архаический;современный
арьергардный;авангардный
асимметрический;симметрический
асимметричность;симметрия
ассистировать;обвинять
астрей;несправедливость
атомарность;сложность
аттицизм;грубость
аутентичность;неравнозначность
аутентичный;поддельный
афиширование;сокрытие
афишировать;скрывать
баба;мужик
базар;порядок
балансировать;разбалансировать
балахонистый;тесный
балдёж;неприятность
балласт;шедевр
банально;оригинально
банкротство;удача
баратрия;бездействие
бардачный;порядок
бедлам;порядок
беднеть;богатеть
беднота;богатство
бедный;богач
бедственно;безбедно
бедствовать;зажиточный
без;с
безапелляционно;нерешительно
безапелляционность;нерешительность
безбедный;бедный
безбоязненный;пугливый
безверие;вера
безвозмездный;платный
безволие;волить
безвольный;решительный
безвредность;опасность
безграмотно;грамотно
безграмотный;просветить
безгрешный;грешный
бездейственность;действенность
бездельничанье;активность
бездетный;плодородный
бездеятельно;деятельно
бездождный;мокрый
бездоказательность;обоснованность
бездомный;домашний
бездорожье;дорога
бездоходность;выгодность
бездумный;глубокий
безжалостность;сострадательность
безжалостный;милосердный
безжизненный;живой
беззаконие;законность
беззаконно;законно
беззащитность;защищённость
беззлобный;громкий
безмолвие;шум
безмолвствовать;болтать
безмятежный;беспокойный
безнадёжность;надежда
безнравственно;нравственно
безнравственность;нравственность
безнравственный;нравственный
безоговорочный;сомнительный
безоружный;вооружённый
безответственный;ответственный
безотказный;ленивый
безотложный;несрочный
безотносительный;относительный
безотчётность;сознательность
безошибочный;ошибочный
безработный;работать
безраздельность;ограниченность
безрассудно;рассудительно
безрассудность;осторожность
безрассудство;рассудительность
безрезультатный;результативный
безубыточный;вредный
безудержный;умеренный
безумно;разумно
безусловность;неочевидность
безусловный;сомнительный
безуспешный;успешный
безучастие;сочувствие
безучастность;сочувствие
безынициативный;активный
бей;слуга
белеть;чернеть
белеться;чернеться
белизна;чернота
белить;чернить
бело;черно
беловик;черновик
беловой;черновая
белокурый;черноволосый
бережливо;расточительно
бережливый;расточительный
беседливый;неразговорчивый
бесконечно;мало
бесконечность;конечность
бесконфликтный;конфликтный
беспатентный;запатентовать
бесперебойность;прерывистость
беспечальный;печальный
бесплатный;платный
бесплодие;плодородие
бесповоротный;начальный
беспокоить;успокаивать
беспокойно;спокойно
бесполезно;полезно
беспомощность;состоятельность
беспомощный;самостоятельный
беспорядок;спокойствие
беспочвенный;обоснованный
бесправный;полноправный
беспредельный;ограниченный
беспрекословный;сомнительный
беспрерывность;прерывистость
беспрестанность;прерывистость
беспримерный;банальный
беспристрастно;субъективно
беспристрастность;пристрастность
беспроигрышность;неустойчивость
бессвязность;полнота
бессвязный;связный
бесславие;слава
бессменный;непостоянный
бессмертие;смерть
бессмысленно;осмысленно
бессмысленность;осмысленность
бессмысленный;осмысленный
бессмыслица;смысл
бессодержательность;содержательность
бессодержательный;содержательный
бессонница;сон
бесспорный;оспаривать
бессрочный;быстротечный
бесстрастный;горячий
бесстрашие;трусость
бестолково;понятно
бестрепетность;трусость
бесхитростно;хитро
бесхитростность;хитрость
бесценный;дешёвый
бесчеловечно;человечно
бесчеловечность;человечность
бесчестность;честность
бесчинство;спокойствие
бесчисленность;исчислимость
бесчувственность;чувство
бесчувствие;участие
бешеный;спокойный
бивалент;противоположность
бинарный;тернарный
биопродуктивность;неэффективность
битый;небитый
бичевать;благословлять
благо;зло
благовидный;неблаговидный
благовоние;зловоние
благоговение;неуважение
благодарность;неблагодарность
благодарный;неблагодарный
благодатный;бедный
благодать;ад
благоденствовать;горемычный
благодетельствовать;вредить
благожелательность;враждебность
благонадёжный;неблагонадёжный
благополучно;неблагополучно
благоприятность;непродуктивность
благоприятствовать;мешать
благоразумие;безалаберность
благорасположение;враждебность
благословение;проклятие
благословить;проклясть
благословлять;проклинать
блаженно;мучительно
бледнеть;краснеть
бледно;яркий
блёклый;яркий
близлежащий;отдалённый
близорукий;дальнозорко
близь;даль
блистательность;обычность
блокада;включение
блокировка;открытие
блондин;брюнет
блондинка;брюнетка
блочный;монолитный
блюдолиз;труженик
богатей;бедняк
богатырь;карлик
бодро;устало
бодрость;усталость
бодрый;усталый
бодряк;пессимист
бодряческий;пессимистический
боевитый;вялый
божественный;светский
божество;опальный
бойцовый;гражданский
более;малый
болезненность;норма
болезненный;здоровый
болеть;здороветь
болтать;молчать
болтаться;подниматься
болтливость;молчаливость
большинство;меньшинство
большой;маленький
борозда;выпуклость
босс;подчинённый
босяк;домашний
бравировать;учитывать
бракованный;пригодный
браниться;мириться
бранно;хвалебно
бранный;хвалебный
братство;разрозненность
брачок;развод
бренность;вечность
брешь;избыток
брожение;удовлетворение
брутто;нетто
брыкаться;принимать
брюнет;блондин
брюнетка;блондинка
бугристый;гладкий
будень;праздник
будить;усыплять
буднично;празднично
буднишность;праздничность
будто;всячески
буквальный;неточный
